Label,Notation,Parent Notation,Sort Priority
Public administration; compulsory social security services,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/84-not-84-22,http://business.data.gov.uk/companies/def/sic-2007/O,138
Public defence services,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/84-22,http://business.data.gov.uk/companies/def/sic-2007/O,139
Education services,http-//business-data-gov-uk/companies/def/sic-2007/85,http://business.data.gov.uk/companies/def/sic-2007/P,140
Human health services,http-//business-data-gov-uk/companies/def/sic-2007/86,http://business.data.gov.uk/companies/def/sic-2007/Q,141
Residential care services,http-//business-data-gov-uk/companies/def/sic-2007/87,http://business.data.gov.uk/companies/def/sic-2007/Q,142
Social work services without accommodation,http-//business-data-gov-uk/companies/def/sic-2007/88,http://business.data.gov.uk/companies/def/sic-2007/Q,143
"Creative, arts and entertainment services",http-//business-data-gov-uk/companies/def/sic-2007/90,http://business.data.gov.uk/companies/def/sic-2007/R,144
"Library, archive, museum and other cultural services",http-//business-data-gov-uk/companies/def/sic-2007/91,http://business.data.gov.uk/companies/def/sic-2007/R,145
Gambling and betting services,http-//business-data-gov-uk/companies/def/sic-2007/92,http://business.data.gov.uk/companies/def/sic-2007/R,146
Sporting services and amusement and recreation services,http-//business-data-gov-uk/companies/def/sic-2007/93,http://business.data.gov.uk/companies/def/sic-2007/R,147
Services furnished by membership organisations,http-//business-data-gov-uk/companies/def/sic-2007/94,http://business.data.gov.uk/companies/def/sic-2007/S,148
Repair services of computers and personal and household goods,http-//business-data-gov-uk/companies/def/sic-2007/95,http://business.data.gov.uk/companies/def/sic-2007/S,149
Other personal services,http-//business-data-gov-uk/companies/def/sic-2007/96,http://business.data.gov.uk/companies/def/sic-2007/S,150
Services of households as employers of domestic personnel,http-//business-data-gov-uk/companies/def/sic-2007/97,http://business.data.gov.uk/companies/def/sic-2007/T,151
Consumer expenditure - not travel,http-//business-data-gov-uk/companies/def/sic-2007/100,,152
Consumer expenditure - travel,http-//business-data-gov-uk/companies/def/sic-2007/101,,153
