Period,Final Demand Code,Measure,Unit,Value
year/2001,FD 5,carbon-dioxide-emissions,kt-co2,111456.463
year/2001,FD 6,carbon-dioxide-emissions,kt-co2,2435.897
year/2001,FD 7,carbon-dioxide-emissions,kt-co2,4068.873
year/2002,FD 1,carbon-dioxide-emissions,kt-co2,456078.344
year/2002,FD 1,carbon-dioxide-emissions,kt-co2,154757.7
year/2002,FD 2,carbon-dioxide-emissions,kt-co2,4546.586
year/2002,FD 3,carbon-dioxide-emissions,kt-co2,36215.589
year/2002,FD 4,carbon-dioxide-emissions,kt-co2,20463.091
year/2002,FD 5,carbon-dioxide-emissions,kt-co2,109435.617
year/2002,FD 6,carbon-dioxide-emissions,kt-co2,3848.558
year/2002,FD 7,carbon-dioxide-emissions,kt-co2,3316.035
year/2003,FD 1,carbon-dioxide-emissions,kt-co2,462691.073
year/2003,FD 1,carbon-dioxide-emissions,kt-co2,155221.5
year/2003,FD 2,carbon-dioxide-emissions,kt-co2,4643.98
year/2003,FD 3,carbon-dioxide-emissions,kt-co2,36076.944
year/2003,FD 4,carbon-dioxide-emissions,kt-co2,20632.656
year/2003,FD 5,carbon-dioxide-emissions,kt-co2,110272.265
year/2003,FD 6,carbon-dioxide-emissions,kt-co2,3207.36
year/2003,FD 7,carbon-dioxide-emissions,kt-co2,3238.509
year/2004,FD 1,carbon-dioxide-emissions,kt-co2,481157.327
year/2004,FD 1,carbon-dioxide-emissions,kt-co2,157963.8
year/2004,FD 2,carbon-dioxide-emissions,kt-co2,4766.404
year/2004,FD 3,carbon-dioxide-emissions,kt-co2,41549.28
year/2004,FD 4,carbon-dioxide-emissions,kt-co2,22679.715
year/2004,FD 5,carbon-dioxide-emissions,kt-co2,117155.351
year/2004,FD 6,carbon-dioxide-emissions,kt-co2,1843.475
year/2004,FD 7,carbon-dioxide-emissions,kt-co2,4414.471
year/2005,FD 1,carbon-dioxide-emissions,kt-co2,483823.745
year/2005,FD 1,carbon-dioxide-emissions,kt-co2,154294.6
year/2005,FD 2,carbon-dioxide-emissions,kt-co2,5143.148
year/2005,FD 3,carbon-dioxide-emissions,kt-co2,41778.287
year/2005,FD 4,carbon-dioxide-emissions,kt-co2,23107.212
year/2005,FD 5,carbon-dioxide-emissions,kt-co2,117543.717
year/2005,FD 6,carbon-dioxide-emissions,kt-co2,2104.179
year/2005,FD 7,carbon-dioxide-emissions,kt-co2,4090.326
year/2006,FD 1,carbon-dioxide-emissions,kt-co2,482423.181
year/2006,FD 1,carbon-dioxide-emissions,kt-co2,151745.4
year/2006,FD 2,carbon-dioxide-emissions,kt-co2,5228.471
year/2006,FD 3,carbon-dioxide-emissions,kt-co2,40013.186
year/2006,FD 4,carbon-dioxide-emissions,kt-co2,22950.551
year/2006,FD 5,carbon-dioxide-emissions,kt-co2,117899.835
year/2006,FD 6,carbon-dioxide-emissions,kt-co2,3513.577
year/2006,FD 7,carbon-dioxide-emissions,kt-co2,6286.95
year/2007,FD 1,carbon-dioxide-emissions,kt-co2,485795.783
year/2007,FD 1,carbon-dioxide-emissions,kt-co2,148729.4
year/2007,FD 2,carbon-dioxide-emissions,kt-co2,5100.294
year/2007,FD 3,carbon-dioxide-emissions,kt-co2,42872.792
year/2007,FD 4,carbon-dioxide-emissions,kt-co2,23762.205
year/2007,FD 5,carbon-dioxide-emissions,kt-co2,124909.788
year/2007,FD 6,carbon-dioxide-emissions,kt-co2,2360.884
year/2007,FD 7,carbon-dioxide-emissions,kt-co2,5608.579
year/2008,FD 1,carbon-dioxide-emissions,kt-co2,448445.101
year/2008,FD 1,carbon-dioxide-emissions,kt-co2,149790.8
year/2008,FD 2,carbon-dioxide-emissions,kt-co2,4898.484
year/2008,FD 3,carbon-dioxide-emissions,kt-co2,40649.468
year/2008,FD 4,carbon-dioxide-emissions,kt-co2,21681.987
year/2008,FD 5,carbon-dioxide-emissions,kt-co2,107552.965
year/2008,FD 6,carbon-dioxide-emissions,kt-co2,754.853
year/2008,FD 7,carbon-dioxide-emissions,kt-co2,2412.735
year/2009,FD 1,carbon-dioxide-emissions,kt-co2,393803.638
year/2009,FD 1,carbon-dioxide-emissions,kt-co2,146017.7
year/2009,FD 2,carbon-dioxide-emissions,kt-co2,5048.998
year/2009,FD 3,carbon-dioxide-emissions,kt-co2,38663.427
year/2009,FD 4,carbon-dioxide-emissions,kt-co2,20060.955
year/2009,FD 5,carbon-dioxide-emissions,kt-co2,77607.408
year/2009,FD 6,carbon-dioxide-emissions,kt-co2,890.251
year/2009,FD 7,carbon-dioxide-emissions,kt-co2,2826.184
year/2010,FD 1,carbon-dioxide-emissions,kt-co2,402565.095
