Label,URI,Parent URI,Sort Priority,Description,Local Notation
Security and investigation services,http-//business-data-gov-uk/companies/def/sic-2007/80,http://business.data.gov.uk/companies/def/sic-2007/N,,,80
Services to buildings and landscape,http-//business-data-gov-uk/companies/def/sic-2007/81,http://business.data.gov.uk/companies/def/sic-2007/N,,,81
"Office administrative, office support and other business support services",http-//business-data-gov-uk/companies/def/sic-2007/82,http://business.data.gov.uk/companies/def/sic-2007/N,,,82
Public administration; compulsory social security services,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/84-not-84-22,http://business.data.gov.uk/companies/def/sic-2007/O,,,84-not-84-22
Public defence services,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/84-22,http://business.data.gov.uk/companies/def/sic-2007/O,,,84-22
Education services,http-//business-data-gov-uk/companies/def/sic-2007/85,http://business.data.gov.uk/companies/def/sic-2007/P,,,85
Human health services,http-//business-data-gov-uk/companies/def/sic-2007/86,http://business.data.gov.uk/companies/def/sic-2007/Q,,,86
Residential care services,http-//business-data-gov-uk/companies/def/sic-2007/87,http://business.data.gov.uk/companies/def/sic-2007/Q,,,87
Social work services without accommodation,http-//business-data-gov-uk/companies/def/sic-2007/88,http://business.data.gov.uk/companies/def/sic-2007/Q,,,88
"Creative, arts and entertainment services",http-//business-data-gov-uk/companies/def/sic-2007/90,http://business.data.gov.uk/companies/def/sic-2007/R,,,90
"Library, archive, museum and other cultural services",http-//business-data-gov-uk/companies/def/sic-2007/91,http://business.data.gov.uk/companies/def/sic-2007/R,,,91
Gambling and betting services,http-//business-data-gov-uk/companies/def/sic-2007/92,http://business.data.gov.uk/companies/def/sic-2007/R,,,92
Sporting services and amusement and recreation services,http-//business-data-gov-uk/companies/def/sic-2007/93,http://business.data.gov.uk/companies/def/sic-2007/R,,,93
Services furnished by membership organisations,http-//business-data-gov-uk/companies/def/sic-2007/94,http://business.data.gov.uk/companies/def/sic-2007/S,,,94
Repair services of computers and personal and household goods,http-//business-data-gov-uk/companies/def/sic-2007/95,http://business.data.gov.uk/companies/def/sic-2007/S,,,95
Other personal services,http-//business-data-gov-uk/companies/def/sic-2007/96,http://business.data.gov.uk/companies/def/sic-2007/S,,,96
Services of households as employers of domestic personnel,http-//business-data-gov-uk/companies/def/sic-2007/97,http://business.data.gov.uk/companies/def/sic-2007/T,,,97
Consumer expenditure   not travel,http-//business-data-gov-uk/companies/def/sic-2007/100,,,,100
Consumer expenditure   travel,http-//business-data-gov-uk/companies/def/sic-2007/101,,,,101
Natural World1,http-//business-data-gov-uk/companies/def/sic-2007/103,,,,103
Total PM10 emissions (excl Natural World),http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/total-pm10-emissions-excl-natural-world,,,,total-pm10-emissions-excl-natural-world
Total PM10 emissions (incl Natural World),http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/total-pm10-emissions-incl-natural-world,,,,total-pm10-emissions-incl-natural-world
Total PM2.5 emissions (excl Natural World),http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/total-pm2-5-emissions-excl-natural-world,,,,total-pm2-5-emissions-excl-natural-world
Total PM2.5 emissions (incl Natural World),http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/total-pm2-5-emissions-incl-natural-world,,,,total-pm2-5-emissions-incl-natural-world
Total Carbon Monoxide emissions (excl Natural World),http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/total-carbon-monoxide-emissions-excl-natural-world,,,,total-carbon-monoxide-emissions-excl-natural-world
Total Carbon Monoxide emissions (incl Natural World),http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/total-carbon-monoxide-emissions-incl-natural-world,,,,total-carbon-monoxide-emissions-incl-natural-world
Total Non methane Volatile Organic Compound emissions (excl Natural World),http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/total-non-methane-volatile-organic-compound-emissions-excl-natural-world,,,,total-non-methane-volatile-organic-compound-emissions-excl-natural-world
Total Non methane Volatile Organic Compound emissions (incl Natural World),http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/total-non-methane-volatile-organic-compound-emissions-incl-natural-world,,,,total-non-methane-volatile-organic-compound-emissions-incl-natural-world
Total Benzene emissions (Natural World = 0),http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/total-benzene-emissions-natural-world-0,,,,total-benzene-emissions-natural-world-0
Total Butadiene emissions (Natural World = 0),http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/total-butadiene-emissions-natural-world-0,,,,total-butadiene-emissions-natural-world-0
