,period_start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber,daycount
151,1874-08-01,155-21416000000002,166-91096000000002,184-11434,119-0863,62-092240000000004,38-84553,31-4389,90-9733,168-86463,58-02867,98-6134,172-2957,76-4875,82.6844,31
152,1874-09-01,107-60087,182-0127,196-65014,107-46798999999999,64-22816999999999,70-88865,71-52174000000001,67-00001999999999,131-40895,88-76352,165-24135,152-56641000000002,90-25909,71.86341999999999,30
153,1874-10-01,153-15427,232-74316000000002,292-43233,112-41342,62-261,54-964380000000006,89-91554000000001,80-55476,194-72086000000002,110-59777,136-15526,162-72189,72-61474,78.39336,31
154,1874-11-01,121-86877,132-76218,177-28993,116-94561000000002,70-61799,56-58311,52-809580000000004,103-45226,129-20916,72-04852,94-82979,143-1844,83-11585,84.09741,30
155,1874-12-01,74-57625999999999,92-20510999999999,88-19411,119-8848,55-825630000000004,52-584959999999995,39-71777,105-11527,85-1824,66-5075,129-91771,155-66937,68-29455,91.25129,31
156,1875-01-01,151-54671000000002,178-61428999999998,240-54075,147-54234,68-83684000000001,52-89855,87-75515,100-20746,158-85551,108-11788999999999,161-31253999999998,191-80282,89-73589,98.72882,31
157,1875-02-01,44-17003,69-50193,59-756719999999994,38-23339,34-91983,26-592879999999997,26-27052,41-22537,33-532920000000004,46-203179999999996,59-73033,71-32778,38-848040000000005,34.53455,28
158,1875-03-01,53-83968,67-23673000000001,64-28442,45-94948,18-27016,12-09629,16-90024,25-58642,32-09641,24-66151,38-586059999999996,49-06563,23-13684,21.46585,31
159,1875-04-01,40-37453,65-59751999999999,52-991240000000005,16-3122,25-23835,29-894240000000003,38-906040000000004,28-079290000000004,32-85117,36-69342,51-95769,61-73291999999999,31-80743,25.98515,30
160,1875-05-01,54-21131999999999,105-12758999999998,86-06149,60-43623,38-83709,47-322,44-46405,32-18269,63-34684,44-88855,71-09533,79-0269,55-3104,41.51051,31
161,1875-06-01,78-63945,78-92934,107-18727,88-95976999999999,77-7709,65-04279,67-09161999999999,62-092180000000006,105-56728000000001,73-73031,94-94435,104-26243000000001,78-17376999999999,75.04658,30
162,1875-07-01,90-92036999999999,118-63447,67-82871999999999,81-0375,143-36881,146-90671,126-79185,90-56152,112-18681000000001,129-97737,133-47338,146-09373,156-16613999999998,111.61339,31
163,1875-08-01,87-39259,138-25464,127-01861000000001,98-06599,67-62099,30-8454,33-50869,62-41248,91-30081,43-58992,59-31245,117-8265,70-03990999999999,68.80386,31
164,1875-09-01,125-72238999999999,111-09064,158-02066000000002,129-99138,69-7533,63-85411,63-07395,86-5864,140-7389,57-617309999999996,110-54789,152-78396999999998,91-95281999999999,78.63775,30
165,1875-10-01,157-29701,126-31273999999999,167-90081999999998,153-20802,131-12401,92-48895,104-87416999999999,116-42683000000001,125-9901,144-64319,205-36545,188-55819,151-07596999999998,118.32256000000001,31
166,1875-11-01,138-32166,137-90841,160-07063,137-64616,112-6699,118-19892,86-4032,142-17401,135-97425,126-70241999999999,154-77765,187-39133,108-80868999999998,139.55954,30
167,1875-12-01,118-09548000000001,151-89233000000002,152-66011,67-6747,36-1245,34-396159999999995,26-769059999999996,60-096990000000005,77-91608000000001,36-80037,42-19041,80-43263,36-62885,46.835879999999996,31
168,1876-01-01,72-69813,134-95915,117-75617,52-785180000000004,47-31947,40-746520000000004,24-40611,28-856709999999996,59-32424,34-89643,46-94186,75-73491999999999,48-885220000000004,32.556090000000005,31
169,1876-02-01,129-60284,144-8269,159-65341,123-8922,67-81054,60-98466,54-46555,91-36865,127-88448999999999,76-19367,111-29706999999999,153-48641999999998,77-14239,82.00103,29
170,1876-03-01,140-71055,208-11668999999998,173-0486,115-90316999999999,76-94764,71-66046999999999,75-14317,91-75294,108-05115,89-06371,119-03666000000001,121-67041,78-44802,95.12664000000001,31
171,1876-04-01,92-47394,93-45513000000001,73-47822,64-14123000000001,86-76039,70-71709,53-96555,90-63855,82-27651999999999,64-1246,91-53643000000001,96-41989000000001,76-61731,66.18281,30
172,1876-05-01,27-768629999999998,56-10126999999999,25-07483,17-303520000000002,20-36904,23-457810000000002,23-881420000000002,31-771590000000003,24-01,23-36385,11-349789999999999,16-20955,17-57459,23.66909,31
173,1876-06-01,86-4508,100-89754,128-43591999999998,64-87801,61-7737,43-81149,36-85934,72-29836999999999,93-82118,46-666109999999996,41-57135,60-5148,50-52702,64.14219,30
174,1876-07-01,57-808,87-84732,98-61845,52-41789,42-6522,41-043009999999995,20-09656,42-98689,79-69608000000001,20-49783,29-704359999999998,75-80969,47-7066,69.73914,31
175,1876-08-01,93-29347,89-67704,151-98935,105-17146000000001,47-25156,47-85049,52-26048,69-44374,105-35404,81-65142,109-23371999999999,132-02215,68-93913,59.4985,31
176,1876-09-01,107-31863,103-56954,94-64569,119-5808,117-81974,110-9199,80-45031,102-07244,121-50251000000002,115-04551000000001,180-43501,168-28068000000002,129-42976000000002,103.75169,30
177,1876-10-01,133-52802,132-2083,198-32256,126-14001,49-4035,26-979609999999997,36-28326,57-186080000000004,90-09947,39-21324,92-16311,161-54632,61-65603,65.90299,31
178,1876-11-01,114-92365,102-47698000000001,90-69113,114-723,86-83937,77-69129000000001,75-0267,98-46534,103-14235,95-36194,130-93034,151-15946,99-19844,93.85292,30
179,1876-12-01,255-54746,154-70687,230-51011,230-41438,139-26147,115-37455,158-80733,217-24485,178-48355,179-84063,251-6208,235-01041,149-73843,175.90935,31
180,1877-01-01,175-01325,169-05532,295-27896,198-14623,91-38984,87-44006999999999,124-77483000000001,133-94726,213-93053999999998,157-80372,170-74383,231-06839,112-19528999999999,115.76328000000001,31
181,1877-02-01,104-65426,194-01639,181-34366,94-13361,61-518719999999995,56-40855,48-80571,64-8871,113-25151000000001,48-99494,58-58801999999999,134-42606,58-22561999999999,71.31560999999999,28
182,1877-03-01,73-25788,98-85973,96-21195,84-11171999999999,52-94392,61-313109999999995,60-38896,91-77393000000001,92-45204,67-64112,73-21537,102-71214,55-89252,78.19023,31
183,1877-04-01,97-53563,63-082,97-41685,91-28111,74-89768000000001,69-20846999999999,71-15671999999999,103-82956999999999,67-51417,70-27332,114-1119,99-80776999999999,66-51507,93.11379000000001,30
184,1877-05-01,75-81794000000001,98-65883000000001,92-97543,77-16091999999999,58-855619999999995,50-340509999999995,59-06969,75-38965999999999,85-05368,64-64905,87-4915,110-60898,73-29758000000001,62.26092,31
185,1877-06-01,121-46988999999999,180-92961,146-1521,83-2821,39-76672,31-29324,21-89039,50-42949,68-16408,29-162,33-77937,84-22239,38-331520000000005,47.76631,30
186,1877-07-01,114-99768999999999,143-8943,147-27265,113-47145,78-50201,78-99956999999999,85-51025,85-94935,139-69043,80-13041,112-1284,152-41114,104-11379000000001,88.84918,31
187,1877-08-01,195-05621000000002,137-28847,192-16168000000002,119-55295,95-10477,86-15805,71-88126,184-44465,165-55324,84-46099,129-61581999999999,191-64274,123-64583999999999,127.93038,31
188,1877-09-01,71-89475999999999,91-42253000000001,77-91835,58-54172,58-43401,42-99108,21-36746,62-915519999999994,94-07579,39-782070000000004,76-88806,109-22286000000001,64-07019,92.48754,30
189,1877-10-01,155-18399,222-70417999999998,231-57526000000001,116-1977,49-632709999999996,40-26336,49-8694,104-36244,164-14205,66-68056,76-55597,160-34996,64-03268,88.45315,31
190,1877-11-01,163-77373,257-30392,302-11134,148-90066000000002,73-49616999999999,80-70551999999999,99-28954,81-57186999999999,202-26588,157-36627,193-59319,231-63061000000002,88-75180999999999,91.38723,30
191,1877-12-01,110-83391,205-21511,234-0498,113-91848999999999,52-94401,52-27616,43-47883,56-741569999999996,132-20266,58-282019999999996,69-75533,123-18252,54-896930000000005,72.65406999999999,31
192,1878-01-01,89-74410999999999,154-42387,183-15081,120-00565,54-37721,41-140570000000004,34-301120000000004,81-79397,118-27472,44-86762,57-175540000000005,114-55242,54-67292,79.97383,31
193,1878-02-01,50-40062,82-41611,92-3558,53-60685,33-806059999999995,32-57098,36-37761,39-46759,64-43025,49-27515,56-278180000000006,72-08606999999999,36-93172,34.63447,28
194,1878-03-01,60-996680000000005,134-4976,82-94412,54-36382,24-10827,26-409029999999998,27-894190000000002,30-567090000000004,56-390719999999995,36-275529999999996,50-88852,64-61479,27-902540000000002,36.94895,31
195,1878-04-01,48-76893,45-56519,85-17115,60-370830000000005,40-23823,43-36792,105-23704,60-08025,59-60685,74-57041,94-32428,71-06678000000001,58-895309999999995,51.045629999999996,30
196,1878-05-01,97-47958,101-60191,113-89051,121-66033,108-53073,106-93403,104-92691,94-87305,120-27645,109-09852,144-5703,146-50107,139-15306999999999,95.39936999999999,31
197,1878-06-01,80-07106,84-22699,89-4756,91-47888,60-216680000000004,45-78716,83-71499,77-27365,89-15151,56-899519999999995,78-48528,110-69823999999998,79-33089,83.73317,30
198,1878-07-01,23-26624,74-44564,30-55677,26-17018,27-42463,24-42406,31-93944,19-640060000000002,27-238429999999997,39-456559999999996,52-64068,51-1227,33-33585,28.19404,31
199,1878-08-01,157-90313999999998,114-75929,116-22958,113-27903,155-81107,117-00175,149-12766000000002,133-60744,145-21788999999998,126-91925,143-13816,186-70049,156-56196,141.10503,31
200,1878-09-01,120-04261000000001,190-66269,168-63228999999998,112-07047,48-13805,36-327,25-00104,66-55611,134-94645,37-43476,74-12845,108-47312,69-64641,71.61806999999999,30
201,1878-10-01,130-87642,188-9827,186-06233999999998,114-13212,70-76454,52-145509999999994,50-80959,65-3471,121-57592,84-46781,134-3594,186-61953,96-32433,74.4861,31
202,1878-11-01,109-38548999999999,168-5399,64-13471,78-11489,90-28174,127-68116,77-64285,153-7533,76-66751,96-607,100-56895,133-34232,84-30512,111.65896000000001,30
203,1878-12-01,89-86184,122-75523999999999,69-21434,82-64901,46-545429999999996,39-903859999999995,34-46176,76-83238,71-41994,50-312090000000005,82-43745,96-56862,57-89386,64.01042,31
204,1879-01-01,50-31456,64-13114,53-62239,67-01769,39-21672,43-8287,68-78264,35-53053,43-49564,85-12213,123-13453999999999,77-14193,52-24398,37.068220000000004,31
205,1879-02-01,81-2706,70-7451,80-65541,63-23903000000001,68-49294,70-74369,97-04751999999999,75-29386,84-80362,104-33974,125-39648999999999,146-75688,83-95855999999999,83.39965,28
206,1879-03-01,103-77105,116-20348999999999,122-6644,64-43568,23-61197,22-7822,24-09085,45-44502,71-6554,21-850170000000002,24-26136,68-08001999999999,26-595779999999998,36.44862,31
207,1879-04-01,71-02806,51-77898,50-64826,63-27514,62-92579,62-67836,76-06198,61-981230000000004,54-49796,80-38062,82-89186,64-98354,65-09638000000001,55.92151,30
208,1879-05-01,67-74924,85-32155,70-08651,107-6409,78-70953,69-98201999999999,94-02798,56-82294,59-7988,83-2047,77-64669,82-24806,64-72952,60.119719999999994,31
209,1879-06-01,118-61001,91-41556,140-91633000000002,141-83541,112-91633999999999,105-69254,114-10287,111-74041000000001,132-78965,119-43736000000001,166-76775,188-71874,129-69566,101.90717,30
210,1879-07-01,123-33313999999999,149-30159,155-50236,162-9789,94-76996,110-97358,99-88235999999999,119-58273999999999,145-02597,96-86285,109-78979,148-36226000000002,92-47362,112.49432,31
211,1879-08-01,136-90848,147-86803999999998,161-22713000000002,111-21179,101-26614000000001,110-30847,125-76073999999998,104-51603,166-27456999999998,139-22493,162-0734,244-35935,153-57086999999999,98.27492,31
212,1879-09-01,90-30221999999999,161-70748999999998,199-22821000000002,135-70688,75-06441,75-19805,81-10653,38-80151,109-88363000000001,86-28228,111-07636000000001,137-2899,81-9426,54.704209999999996,30
213,1879-10-01,42-81435,104-45817,79-24553,50-32372,27-003090000000004,24-306520000000003,20-07074,26-76619,67-09006,23-63549,46-01563,62-43643,33-26744,33.96992,31
214,1879-11-01,66-79266,114-21093,49-24823,38-98383,37-28042,34-32888,19-56963,62-7352,40-14987,22-85439,15-90867,30-197670000000002,26-00796,49.21216,30
215,1879-12-01,62-99191,122-17356000000001,106-56276000000001,57-990030000000004,28-86229,19-70751,18-9373,36-75281,85-79531999999999,24-66496,39-58899,87-99677,27-266509999999997,40.09385,31
216,1880-01-01,54-27202,124-7408,82-01871,51-52297,9-279689999999999,4-83336,9-835980000000001,16-8833,26-61608,12-948830000000001,24-20501,31-70518,13-88662,8.90044,31
217,1880-02-01,123-88082,188-76755,158-88922,75-87815,60-09174,45-44635,58-95671,64-84007,106-86506000000001,83-88505,116-82343,129-029,79-01724,66.83456,29
218,1880-03-01,63-75251,75-9615,88-35871999999999,66-40196,44-31793,24-631339999999998,18-958389999999998,42-744609999999994,68-37253,28-57595,56-00435,74-70333000000001,35-87027,60.5862,31
219,1880-04-01,100-66733,108-03607,129-7435,112-00386999999999,50-74757,48-02088,55-214369999999995,65-74551,60-770880000000005,52-00476,60-48393000000001,71-55093000000001,44-66146,59.14079,30
220,1880-05-01,33-18592,67-08447,45-68196,33-15439,38-30743,17-40902,7-07555,46-718720000000005,59-53168,11-78501,33-78326,67-07793000000001,54-545730000000006,50.91523,31
221,1880-06-01,59-80302,87-80059,72-14454,85-05091999999999,88-62389,77-46944,79-33621,61-79746,102-17681999999999,74-86494,63-37526999999999,106-71083999999999,87-873,75.75711,30
222,1880-07-01,115-99751,120-72216,109-21236,147-12453,157-63342,129-08902,125-97238,132-40352,150-02411,115-97251000000001,128-07183,201-74246000000002,147-41223,142.75458999999998,31
223,1880-08-01,25-31859,42-465509999999995,36-714220000000005,43-53526,51-06474,44-05065,16-32462,38-82821,50-908229999999996,30-99509,23-91412,45-46347,25-45475,46.78513,31
224,1880-09-01,94-90811,110-90417,114-37782,99-58761,119-8524,91-75818000000001,105-23459,128-44063,120-28596,117-50103,109-43371,105-6554,91-88263,124.8206,30
225,1880-10-01,71-01079,120-71921999999999,33-36461,42-22977,155-58977,134-73112,148-34317,126-69918,81-42795,161-78101999999998,167-24997,163-87771999999998,133-15929,141.51168,31
226,1880-11-01,140-88126,192-69441,179-79519,118-39554,56-61124,55-89771999999999,50-751129999999996,95-57188000000001,154-25145,81-09758000000001,91-98674,166-79742,62-11446,82.1781,30
227,1880-12-01,101-31730999999999,168-62394,152-22798999999998,93-9588,77-57096999999999,62-80251,82-29881,97-42361,155-13439,96-23709000000001,132-54953999999998,196-96425,95-23304,108.37871000000001,31
228,1881-01-01,35-67982,39-40443,22-38737,22-99094,20-5371,28-09311,36-368120000000005,34-6836,15-474229999999999,44-2294,58-70514,39-089909999999996,19-65887,21.698539999999998,31
229,1881-02-01,105-0709,110-86431999999999,131-82278,121-21488000000001,95-97559,65-66812,73-91183000000001,84-75624,123-45968,79-68906,112-94998000000001,153-52778999999998,93-60901,107.4173,28
230,1881-03-01,90-40026999999999,118-07648999999999,157-30999,103-93215,55-74801,42-763529999999996,52-3723,92-49528000000001,125-98629,57-790240000000004,85-37444,115-26567,57-2904,88.91545,31
231,1881-04-01,34-140029999999996,52-50169,46-0819,52-96682,30-29484,29-395640000000004,17-759539999999998,39-98723,47-02425,18-40865,30-0242,47-2811,22-92813,35.29075,30
232,1881-05-01,68-53908,88-70455,89-67777,69-47133000000001,31-77941,21-73449,33-93365,51-76935,99-84707,30-83871,39-24413,98-81855999999999,45-92646,43.39513,31
233,1881-06-01,88-16838,112-7011,140-52106,109-70535,55-14074,49-93419,45-7616,73-62486,105-00945,57-599759999999996,87-18859,105-53958999999999,65-16419,52.62874,30
234,1881-07-01,107-4545,170-51516,151-65835,76-25312,58-3906,49-216809999999995,46-711009999999995,100-70613,126-23456999999999,50-276920000000004,67-96041,82-25008000000001,46-29913,91.00929000000001,31
235,1881-08-01,122-89293,119-92596999999999,131-49794,114-1968,125-13165,107-61713999999999,119-57608,151-93071,159-68509,129-84936000000002,139-96638000000002,166-20565,120-73891,130.08354,31
236,1881-09-01,93-48913,78-49556,82-70085,69-02934,58-06245,63-18767,54-51347,107-80933,71-01585,60-82376,59-978480000000005,60-82606,42-693940000000005,81.60265,30
237,1881-10-01,123-55527,124-2427,98-41919,94-33882,87-48458000000001,75-384,69-45988,105-73243000000001,84-13814,68-5369,72-9492,104-78045999999999,72-52511,92.39634000000001,31
238,1881-11-01,154-41666999999998,199-69769,218-74085,111-43727,70-61071,54-11544,67-2331,89-68433,157-42158999999998,96-99106,129-25473,181-6203,81-5882,92.91783000000001,30
239,1881-12-01,91-95375,171-54102,178-52383,106-91241000000001,73-147,80-43498000000001,73-91263000000001,90-44747,125-37123999999999,87-25998,111-3642,139-10176,76-76014,88.72661,31
240,1882-01-01,89-94051999999999,157-15701,152-80138,64-72017,55-963269999999994,35-03368,31-615159999999996,38-85792,94-15722,38-61835,60-7179,140-66,61-92638,70.89211,31
241,1882-02-01,89-90124,159-90107,145-0508,72-99765,47-34129,36-41482,33-184059999999995,46-3192,103-48761999999999,44-29907,66-2276,116-32405,65-63911999999999,53.106669999999994,28
242,1882-03-01,115-07046000000001,213-84264,156-9064,85-66577,38-34572,35-34215,32-079640000000005,65-3553,103-93064,32-36654,44-39714,100-68601,42-22607,65.11001,31
243,1882-04-01,97-93488,106-81403,104-17293000000001,88-83915999999999,81-43418,76-79453000000001,74-11018,103-11491,117-32738,91-10065999999999,136-67348,142-15178,90-89905,115.39684,30
244,1882-05-01,69-1904,81-12787,73-98294,69-01941,48-78621,39-11203,35-2123,54-79176999999999,58-812819999999995,41-66216,52-95697,64-85051999999999,55-7057,41.998129999999996,31
245,1882-06-01,117-26855,124-00238999999999,124-74143000000001,103-37519,104-28678000000001,71-88956999999999,58-096940000000004,121-11113,141-19532,75-1968,109-23646000000001,141-79426999999998,109-33111000000001,112.18496999999999,30
246,1882-07-01,130-89394,131-72405,186-64417,164-68755,81-49223,69-39984,60-97975,92-34742,179-0675,77-2653,124-9045,182-92189,105-18552,105.38004,31
247,1882-08-01,69-72433000000001,108-45329,112-00108999999999,98-26675,66-44219,52-2794,35-90733,74-15895,106-29516000000001,48-31811,92-28366,149-0769,63-004419999999996,71.73031,31
248,1882-09-01,91-69082,135-27941,138-51757,109-88662,66-71608,69-24208,64-96608,50-39608,74-45579000000001,73-6377,104-9174,100-38806,66-09707,52.30008,30
249,1882-10-01,116-94525,93-89171,131-88005,79-97064,137-38461,138-87322,139-02168,115-59663,107-13927,172-29674,190-01588,177-99501999999998,138-29407,123.3032,31
